"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.653080450E1,-4.047285461E1,2.022875595E1,4.122573376E0,4.543401962E1
1.654085350E1,-4.046195984E1,2.021179199E1,4.111803532E0,4.541578644E1
1.655090250E1,-4.044573593E1,2.022961426E1,4.160447598E0,4.541370027E1
1.656095150E1,-4.047235870E1,2.024413872E1,4.212585449E0,4.544868367E1
1.657100050E1,-4.048534393E1,2.022870064E1,4.212382317E0,4.545335596E1
1.658104950E1,-4.048526001E1,2.023323631E1,4.187839985E0,4.545303217E1
1.659109850E1,-4.046257782E1,2.015790749E1,4.214989185E0,4.540184547E1
1.660114850E1,-4.046812439E1,2.019804573E1,4.204453468E0,4.542364552E1
1.661119750E1,-4.042231750E1,2.022557068E1,4.186238289E0,4.539341420E1
1.662124650E1,-4.042698669E1,2.016510391E1,4.227403164E0,4.537448189E1
1.663129550E1,-4.041768646E1,2.012126923E1,4.136355877E0,4.533833140E1
1.664134450E1,-4.035929871E1,2.011931610E1,4.052806377E0,4.527786559E1
1.665139350E1,-4.035568237E1,2.020153809E1,4.051110744E0,4.531108848E1
1.666144250E1,-4.035149002E1,2.022084427E1,4.025608540E0,4.531369345E1
1.667149150E1,-4.028832626E1,2.020856857E1,4.071151257E0,4.525604655E1
1.668154050E1,-4.026546860E1,2.019797897E1,4.119546413E0,4.523535098E1
1.669159050E1,-4.025219727E1,2.012566948E1,4.175641537E0,4.519643724E1
1.670163950E1,-4.028142929E1,2.005608749E1,4.172831059E0,4.519129020E1
1.671168850E1,-4.037732697E1,2.007571411E1,4.223008633E0,4.529013835E1
1.672173750E1,-4.037627411E1,2.005908585E1,4.223426342E0,4.528187017E1
1.673178650E1,-4.036587524E1,2.009058189E1,4.233795643E0,4.528753019E1
1.674183550E1,-4.036022186E1,2.015187836E1,4.171556473E0,4.530394678E1
1.675188450E1,-4.035684204E1,2.017706299E1,4.090093136E0,4.530471755E1
1.676193350E1,-4.039892197E1,2.019011307E1,4.071983814E0,4.534638479E1
1.677198250E1,-4.038946915E1,2.013907433E1,4.029147625E0,4.531142862E1
1.678203250E1,-4.033549500E1,2.013117409E1,4.059048176E0,4.526248114E1
1.679208150E1,-4.032383728E1,2.010805511E1,4.172668457E0,4.525214797E1
1.680213050E1,-4.036688995E1,2.012734604E1,4.240679264E0,4.530539950E1
1.681217950E1,-4.037239456E1,2.016450119E1,4.259631634E0,4.532859818E1
1.682222850E1,-4.042517853E1,2.024063873E1,4.250136375E0,4.540861344E1
1.683227750E1,-4.044158173E1,2.025445938E1,4.230939865E0,4.542758534E1
1.684232650E1,-4.041669464E1,2.021737099E1,4.138596058E0,4.538038423E1
1.685237550E1,-4.041067505E1,2.019850922E1,4.138381481E0,4.536660263E1
1.686242450E1,-4.042340088E1,2.015332794E1,4.141202450E0,4.535810317E1
1.687247450E1,-4.038760376E1,2.016379929E1,4.114136696E0,4.532839573E1
1.688252350E1,-4.041929245E1,2.020647812E1,4.047389030E0,4.536961889E1
1.689257250E1,-4.042396545E1,2.022931290E1,4.067012787E0,4.538571005E1
1.690262150E1,-4.043334198E1,2.019989777E1,4.051115036E0,4.537953885E1
1.691267050E1,-4.046571350E1,2.014160919E1,3.990897179E0,4.537714899E1
1.692271950E1,-4.050228882E1,2.017351913E1,3.932867050E0,4.541886961E1
1.693276850E1,-4.047109222E1,2.025376129E1,3.897324562E0,4.542370847E1
1.694281750E1,-4.040505219E1,2.024045563E1,3.968685627E0,4.536512704E1
1.695286650E1,-4.039665222E1,2.025371933E1,4.022234917E0,4.536828221E1
1.696291650E1,-4.039630127E1,2.028414154E1,4.033349514E0,4.538254579E1
1.697296550E1,-4.037236023E1,2.018770981E1,4.084848881E0,4.532280980E1
1.698301450E1,-4.041878510E1,2.018110466E1,4.135714531E0,4.536583856E1
1.699306350E1,-4.037088013E1,2.017440033E1,4.064959049E0,4.531377586E1
1.700311250E1,-4.036057281E1,2.024655533E1,4.133295536E0,4.534294843E1
1.701316150E1,-4.032718658E1,2.023392868E1,4.148356438E0,4.530896941E1
1.702321050E1,-4.034823608E1,2.026908875E1,4.102975368E0,4.533928231E1
1.703325950E1,-4.041197205E1,2.021142578E1,4.101084709E0,4.537012357E1
1.704330850E1,-4.036117935E1,2.019675064E1,4.162767410E0,4.532396902E1
1.705335750E1,-4.037584686E1,2.015800285E1,4.215669155E0,4.532467270E1
1.706340750E1,-4.036771774E1,2.014673615E1,4.140919685E0,4.530552758E1
1.707345650E1,-4.038258743E1,2.019011688E1,4.184420586E0,4.534207277E1
1.708350550E1,-4.039801025E1,2.019064331E1,4.221220493E0,4.535945339E1
1.709355450E1,-4.036647034E1,2.020750427E1,4.207515240E0,4.533760405E1
1.710360350E1,-4.037545395E1,2.019495773E1,4.206179619E0,4.533988913E1
1.711365250E1,-4.041885757E1,2.023099136E1,4.224389553E0,4.539628318E1
1.712370150E1,-4.043107986E1,2.023121262E1,4.191431999E0,4.540420999E1
1.713375050E1,-4.040829468E1,2.026845551E1,4.104198933E0,4.539256565E1
1.714379950E1,-4.041569519E1,2.028545380E1,4.067767620E0,4.540346668E1
