"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.065573175E2,3.437814713E0,2.528398514E1,4.466430664E1,5.143927257E1
1.065673675E2,3.486793518E0,2.525421143E1,4.464196396E1,5.140853888E1
1.065774165E2,3.536657333E0,2.517815781E1,4.462847900E1,5.136291185E1
1.065874655E2,3.534214020E0,2.519606018E1,4.470649719E1,5.143931384E1
1.065975145E2,3.520669937E0,2.519561005E1,4.472258759E1,5.145214984E1
1.066075645E2,3.517808914E0,2.517858315E1,4.467308044E1,5.140058507E1
1.066176135E2,3.538652420E0,2.520244598E1,4.464398193E1,5.138842737E1
1.066276625E2,3.577997208E0,2.513300133E1,4.468648148E1,5.139407988E1
1.066377115E2,3.553478241E0,2.514335442E1,4.468669891E1,5.139763164E1
1.066477615E2,3.527549744E0,2.517579460E1,4.471776581E1,5.143872879E1
1.066578105E2,3.522647858E0,2.519939423E1,4.479621506E1,5.151814632E1
1.066678595E2,3.518503189E0,2.521343422E1,4.473321533E1,5.146996876E1
1.066779085E2,3.503011703E0,2.521679688E1,4.464438248E1,5.139337333E1
1.066879585E2,3.474119186E0,2.538400650E1,4.458434296E1,5.142159981E1
1.066980075E2,3.427843094E0,2.542386627E1,4.453173828E1,5.139259479E1
1.067080565E2,3.447200775E0,2.539548683E1,4.448189545E1,5.133666299E1
1.067181065E2,3.449872971E0,2.529481125E1,4.449900055E1,5.130195074E1
1.067281555E2,3.483926773E0,2.530781174E1,4.446733093E1,5.128319999E1
1.067382045E2,3.484405518E0,2.533172798E1,4.446455002E1,5.129262844E1
1.067482535E2,3.467546463E0,2.533459473E1,4.449567413E1,5.131988489E1
1.067583035E2,3.499086380E0,2.534178543E1,4.453594971E1,5.136049562E1
1.067683525E2,3.522581100E0,2.535360146E1,4.466123581E1,5.147659340E1
1.067784015E2,3.537181854E0,2.527616501E1,4.469000244E1,5.146447796E1
1.067884505E2,3.442886353E0,2.522253418E1,4.472530746E1,5.146244091E1
1.067985005E2,3.480857849E0,2.521111298E1,4.473214722E1,5.146534352E1
1.068085495E2,3.472845078E0,2.525481224E1,4.466602325E1,5.142878404E1
1.068185985E2,3.490028381E0,2.531560707E1,4.464832306E1,5.144446531E1
1.068286485E2,3.452466965E0,2.538291550E1,4.464435577E1,5.147164685E1
1.068386975E2,3.357231140E0,2.547963142E1,4.458656311E1,5.146303750E1
1.068487465E2,3.383428574E0,2.548451805E1,4.446897888E1,5.136534174E1
1.068587955E2,3.341697693E0,2.549539375E1,4.439240646E1,5.130173289E1
1.068688455E2,3.378408432E0,2.543674850E1,4.449951935E1,5.136778212E1
1.068788945E2,3.403364182E0,2.546469307E1,4.448001862E1,5.136638528E1
1.068889435E2,3.368789673E0,2.549877930E1,4.432666016E1,5.124831012E1
1.068989935E2,3.379034042E0,2.550781631E1,4.436394119E1,5.128572747E1
1.069090425E2,3.431793213E0,2.544236946E1,4.468962097E1,5.153885516E1
