"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.271086958E0,1.187870026E0,2.321887589E1,-4.095793915E1,4.709649681E1
2.281136958E0,1.189833641E0,2.323691368E1,-4.099801636E1,4.714029282E1
2.291185958E0,1.159314156E0,2.326499176E1,-4.102056122E1,4.717298267E1
2.301234958E0,1.141404152E0,2.325162125E1,-4.095401001E1,4.710808455E1
2.311283958E0,1.140597343E0,2.325199509E1,-4.094377899E1,4.709935537E1
2.321332958E0,1.143281937E0,2.323205185E1,-4.093601990E1,4.708283182E1
2.331381958E0,1.156097412E0,2.327877045E1,-4.090904236E1,4.708277245E1
2.341430958E0,1.169154167E0,2.332670403E1,-4.090412903E1,4.710254572E1
2.351479958E0,1.182989120E0,2.329261017E1,-4.090167999E1,4.708388873E1
2.361528958E0,1.179133415E0,2.331423569E1,-4.091460419E1,4.710571915E1
2.371577958E0,1.140386581E0,2.332111168E1,-4.098783875E1,4.717178878E1
2.381626958E0,1.156201363E0,2.330502319E1,-4.103204346E1,4.720264291E1
2.391675958E0,1.143979073E0,2.339341736E1,-4.094852448E1,4.717353411E1
2.401724958E0,1.159188271E0,2.344601822E1,-4.088987732E1,4.714914161E1
2.411773958E0,1.162512779E0,2.347366142E1,-4.089402008E1,4.716656755E1
2.421822958E0,1.147969246E0,2.341543198E1,-4.089973450E1,4.714221643E1
2.431871958E0,1.176861763E0,2.335853577E1,-4.080345154E1,4.703113707E1
2.441920958E0,1.136715889E0,2.332607841E1,-4.085670471E1,4.706026325E1
2.451969958E0,1.081058502E0,2.337733841E1,-4.098477936E1,4.719555888E1
2.462019958E0,1.148605347E0,2.337581444E1,-4.100608063E1,4.721489853E1
2.472068958E0,1.162546158E0,2.334359360E1,-4.089062500E1,4.709902428E1
2.482117958E0,1.132357597E0,2.337384033E1,-4.081059265E1,4.704384251E1
2.492166958E0,1.133775711E0,2.336397934E1,-4.076751709E1,4.700161090E1
