"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.743575125E0,-1.972976303E1,-4.004853821E1,2.879207134E0,4.473744288E1
2.753624125E0,-1.976715088E1,-4.010553741E1,2.877686024E0,4.480485980E1
2.763674125E0,-1.976383209E1,-4.006578827E1,2.934747696E0,4.477152212E1
2.773724125E0,-1.980210686E1,-4.011519623E1,3.015676022E0,4.483800515E1
2.783774125E0,-1.981270599E1,-4.013005066E1,3.022968292E0,4.485646689E1
2.793823125E0,-1.977618599E1,-4.007398987E1,2.941776276E0,4.478477692E1
2.803873125E0,-1.973810768E1,-4.008759308E1,2.957857132E0,4.478121182E1
2.813923125E0,-1.972867966E1,-4.010428619E1,2.962913990E0,4.479233675E1
2.823973125E0,-1.983032990E1,-4.007398224E1,2.926223755E0,4.480768708E1
2.834023125E0,-1.983860779E1,-4.004066467E1,2.860960960E0,4.477734119E1
2.844072125E0,-1.983811569E1,-4.009587860E1,2.902206421E0,4.482915477E1
2.854122125E0,-1.981951523E1,-4.015003204E1,2.957150936E0,4.487296512E1
2.864172125E0,-1.974028778E1,-4.016382599E1,3.085703373E0,4.485903972E1
2.874222125E0,-1.972808838E1,-4.019770050E1,3.139035702E0,4.488770591E1
2.884271125E0,-1.973370743E1,-4.012811279E1,3.070106983E0,4.482309898E1
2.894321125E0,-1.973610497E1,-4.012493896E1,2.959690094E0,4.481388548E1
2.904371125E0,-1.974711418E1,-4.022075653E1,3.014413357E0,4.490817812E1
2.914421125E0,-1.970964050E1,-4.024141693E1,3.036385059E0,4.491170448E1
2.924470125E0,-1.968562317E1,-4.027443695E1,2.938117504E0,4.492423139E1
2.934520125E0,-1.973972130E1,-4.025902557E1,2.883569241E0,4.493062106E1
2.944570125E0,-1.974487877E1,-4.027461243E1,2.888566494E0,4.494717411E1
2.954620125E0,-1.970837021E1,-4.028968048E1,2.909713745E0,4.494601922E1
2.964669125E0,-1.971016121E1,-4.023665619E1,2.929934025E0,4.490059543E1
2.974719125E0,-1.972689247E1,-4.027586365E1,2.949956417E0,4.494438477E1
2.984769125E0,-1.974369431E1,-4.026055145E1,2.879428387E0,4.493346833E1
2.994819125E0,-1.972427750E1,-4.019130707E1,2.804207802E0,4.485813046E1
3.004868125E0,-1.975872421E1,-4.021819305E1,2.822184563E0,4.489849620E1
3.014918125E0,-1.972196007E1,-4.019012451E1,2.843270779E0,4.485851096E1
3.024968125E0,-1.973234558E1,-4.022528076E1,3.048161507E0,4.490801669E1
3.035018125E0,-1.973418999E1,-4.026533508E1,3.059078217E0,4.494544942E1
3.045068125E0,-1.976865196E1,-4.021276093E1,3.013761997E0,4.491044982E1
3.055117125E0,-1.979094696E1,-4.021792603E1,2.987110138E0,4.492311190E1
3.065167125E0,-1.980573273E1,-4.014934540E1,3.021955490E0,4.487058279E1
3.075217125E0,-1.978362083E1,-4.015362549E1,3.016186237E0,4.486426944E1
3.085267125E0,-1.979386520E1,-4.020419312E1,3.000550270E0,4.491299974E1
3.095316125E0,-1.981850433E1,-4.012905884E1,2.942065716E0,4.485276165E1
3.105366125E0,-1.988031387E1,-4.011504364E1,2.937722683E0,4.486729121E1
3.115416125E0,-1.983875275E1,-4.016603088E1,2.949203968E0,4.489525533E1
3.125466125E0,-1.981043053E1,-4.015750885E1,2.855733871E0,4.486907499E1
3.135515125E0,-1.982925415E1,-4.015748596E1,2.871583939E0,4.487838002E1
3.145565125E0,-1.986814690E1,-4.014402008E1,2.862198830E0,4.488293430E1
3.155615125E0,-1.986135674E1,-4.011997986E1,2.948143959E0,4.486399256E1
3.165665125E0,-1.988110352E1,-4.018018341E1,3.004129887E0,4.493028168E1
3.175714125E0,-1.983914185E1,-4.019059753E1,2.988768101E0,4.492002242E1
3.185764125E0,-1.983673859E1,-4.017864990E1,2.948733330E0,4.490562475E1
3.195814125E0,-1.980475998E1,-4.016597748E1,2.962806225E0,4.488109274E1
3.205864125E0,-1.982239151E1,-4.019229889E1,2.917645931E0,4.490947286E1
3.215914125E0,-1.979637527E1,-4.013690186E1,2.868093014E0,4.484521515E1
3.225963125E0,-1.982781982E1,-4.018186951E1,2.953652859E0,4.490488995E1
3.236013125E0,-1.984156227E1,-4.025663757E1,3.069305420E0,4.498560990E1
3.246063125E0,-1.988796806E1,-4.020689392E1,3.023517132E0,4.495850585E1
3.256113125E0,-1.983555031E1,-4.021719360E1,3.027503014E0,4.494482720E1
